#time orbit spectral_counts
2454246.0076787 1 1688963.245628 2135443.589878 2296036.877613 2418956.881277 2551388.219238 2663578.017704 2652143.289426 2802179.583698 2715590.856613 2655655.120275 2516973.239709 2466315.500311 2082883.333316 1838558.490845 1638211.376279 1243072.220092 888271.389967 539720.395919
2454246.0078061 1 1687053.348300 2134584.156838 2296164.810408 2418411.466585 2555608.441612 2667069.008740 2654251.630130 2798139.486270 2719006.548062 2656597.513852 2518973.302814 2473183.870956 2081658.797900 1843120.412052 1644465.182871 1247176.989533 890099.621991 539985.325469
2454246.0079334 1 1688864.559652 2137329.054274 2296223.391564 2422689.046635 2554599.473394 2666085.173243 2649525.300990 2796689.247705 2719457.148925 2656479.875143 2516072.760641 2469459.574589 2082522.990393 1844058.513654 1643184.262732 1245174.622675 891942.851950 541468.315438
2454246.0080607 1 1686570.342466 2136452.532516 2297270.871796 2418260.507986 2554262.237483 2667941.858392 2649512.786982 2800220.180103 2713338.837743 2655826.142374 2518675.044045 2469006.663728 2085468.500104 1839315.030933 1645383.657173 1245724.862467 891821.177152 541906.104567
2454246.0081880 1 1688034.956555 2137150.341617 2300583.639542 2420934.151913 2553881.954028 2668485.269725 2654621.614392 2799188.917468 2714974.635630 2658639.904688 2517879.553074 2471109.222002 2083904.087072 1838376.455752 1646310.411627 1247864.303963 892476.713551 541966.106235
2454246.0083153 1 1690551.725618 2138590.991725 2297397.307829 2422105.533931 2555298.166319 2667131.541539 2649934.086020 2797510.202679 2717803.577429 2656929.374478 2518684.109886 2473287.981843 2085763.643252 1839354.718304 1643778.412256 1248942.138550 893898.884359 540729.962207
2454246.0084426 1 1686988.777459 2134267.303948 2296263.194979 2417326.166330 2555924.735101 2665797.766818 2648546.543320 2800766.540032 2719723.707827 2652909.154030 2516805.656475 2470568.915782 2085096.489635 1840835.585515 1646377.013918 1248263.344197 893147.683325 540620.379197
2454246.0085699 1 1687466.741031 2134262.779696 2297989.889543 2415612.449595 2549191.233581 2665201.468724 2650037.866466 2796575.676257 2719013.156952 2654719.845983 2516648.133169 2467598.294886 2084457.114549 1840035.952338 1643913.584603 1246713.158080 892706.690255 542447.668564
2454246.0086972 1 1687748.079308 2138371.009857 2297545.930322 2420778.974199 2554205.743433 2666433.149690 2652328.287178 2800805.379535 2718880.391514 2653742.936643 2519941.831551 2467682.134210 2082853.189564 1840824.530897 1645649.395541 1246834.962330 893909.829993 542713.454102
2454246.0088246 1 1690283.284722 2135534.814283 2301284.938205 2419647.457957 2552090.586905 2667024.117915 2650752.275621 2802121.327498 2719905.616067 2653226.944126 2516879.370127 2470606.723123 2086415.555345 1844366.727198 1644686.527218 1250641.120805 893269.018954 541409.161692
2454246.0089519 1 1686234.389426 2133751.911879 2295221.176431 2417381.750888 2550541.294144 2663102.335196 2648724.159245 2796020.995630 2721452.847381 2656384.975375 2515997.785438 2467977.987564 2081787.393501 1842208.790471 1645547.429700 1246313.835803 893599.204817 544410.253442
2454246.0090792 1 1688385.627526 2135421.621343 2295583.079785 2419706.219379 2551780.491111 2664487.164682 2649405.840708 2797504.098088 2717364.647423 2657007.146871 2514495.722337 2467775.794789 2083648.903404 1841149.781547 1644298.452955 1247380.750283 892989.658243 540260.025690
2454246.0109081 1 1686329.558230 2132501.826594 2298822.859217 2415686.170936 2552193.066682 2664771.169444 2650320.604179 2797788.760931 2712870.410023 2654824.208907 2518969.918925 2472866.211532 2081691.687162 1844901.158144 1646956.326348 1247502.803553 894670.773830 542315.612349
2454246.0110354 1 1683310.989376 2134742.789793 2297736.691490 2419878.881781 2549699.146433 2667449.877511 2648455.206447 2800258.497082 2720344.500637 2655664.574759 2515273.427415 2468501.647218 2086714.925059 1842486.031451 1644950.880362 1249254.482897 895096.590784 543717.379421
